old_path,new_path,type,notes
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.43.37 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-06_semantic-vocabulary-size_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.43.57 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-07_biological-constraint-vector_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.44.29 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-08_train-test-split_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.44.44 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-09_state-restoration-registry-rebuild_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.45.13 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-10_state-index-vs-eda-mean_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.45.26 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-11_semantic-gap-dissonant-users_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.45.41 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-12_bioenergetic-correlation-matrix_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.45.56 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-13_target-variable-distribution_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.46.12 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-14_resilience-stress-vs-focus_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.46.40 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-15_digital-stress-index-distribution_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.47.18 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-16_model-comparison-leaderboard_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.47.48 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-17_final-model-roc-curve_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.48.13 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-18_shap-top-predictors_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/Research Photos/Screenshot 2026-02-03 at 2.48.43 PM.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-19_final-research-summary_2026-02-03.png,figure,screenshot
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09_notebooks/productivity-forecasting_multimodal-framework_notebook_v01.ipynb,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/99_archive/productivity-forecasting_multimodal-framework_notebook_v01_duplicate.ipynb,notebook,duplicate
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-01_survey-schema-conformance_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-01_survey-schema-validation_2026-02-03.png,figure,caption refined
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-02_csv-load-productivity-state-missing_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-02_csv-load-missing-productivity-state_2026-02-03.png,figure,caption refined
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-03_data-columns-heuristic-matching_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-03_heuristic-column-matching_2026-02-03.png,figure,caption refined
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-04_balanced-weights-cost-matrix_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-04_class-weights-cost-matrix_2026-02-03.png,figure,caption refined
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-05_somatic-feedback-vs-productivity_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-05_somatic-feedback-vs-productivity-state_2026-02-03.png,figure,caption refined
(created),/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10_writing/references.bib,writing,references file
(created),/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/README.md,figure,figures index readme
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/00_admin/README.md,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/00 Admin/README.md,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/01_proposal/productivity-forecasting_multimodal_hypothesis_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/01 Project Overview/Proposal/productivity-forecasting_multimodal_hypothesis_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/01_proposal/multimodal-framework_proposal_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/01 Project Overview/Proposal/multimodal-framework_proposal_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/03_literature/literature-review_litreview_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/02 Literature Review/literature-review_litreview_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/03_literature/research-papers_litreview_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/02 Literature Review/research-papers_litreview_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/03_literature/research-domains_2020-2025_paper-registry_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/02 Literature Review/research-domains_2020-2025_paper-registry_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04_methodology/affective-computing_methodology_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/03 Methodology/affective-computing_methodology_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05_data/affective-computing_deep-learning-nlp_dataset_v01.xlsx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04 Data/affective-computing_deep-learning-nlp_dataset_v01.xlsx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05_data/behavioral-modeling_secondary_dataset-registry_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04 Data/behavioral-modeling_secondary_dataset-registry_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05_data/affective-computing_deep-learning-nlp_survey-responses_v01.csv,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04 Data/affective-computing_deep-learning-nlp_survey-responses_v01.csv,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/06_models/distributed-multimodal-framework_framework_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05 Models/distributed-multimodal-framework_framework_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/06_models/multimodal-behavioral-analysis_framework_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05 Models/multimodal-behavioral-analysis_framework_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07_results/affective-computing_behavioral-biological_outcome_v01.docx,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/06 Results/affective-computing_behavioral-biological_outcome_v01.docx,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-01_survey-schema-validation_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-01_survey-schema-validation_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-19_final-research-summary_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-19_final-research-summary_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-12_bioenergetic-correlation-matrix_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-12_bioenergetic-correlation-matrix_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-15_digital-stress-index-distribution_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-15_digital-stress-index-distribution_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-07_biological-constraint-vector_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-07_biological-constraint-vector_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-08_train-test-split_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-08_train-test-split_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-11_semantic-gap-dissonant-users_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-11_semantic-gap-dissonant-users_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-03_heuristic-column-matching_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-03_heuristic-column-matching_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-18_shap-top-predictors_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-18_shap-top-predictors_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-16_model-comparison-leaderboard_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-16_model-comparison-leaderboard_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/README.md,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/README.md,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-04_class-weights-cost-matrix_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-04_class-weights-cost-matrix_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-21_distributed-multimodal-framework_affective-computing_v01.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-21_distributed-multimodal-framework_affective-computing_v01.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-02_csv-load-missing-productivity-state_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-02_csv-load-missing-productivity-state_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-13_target-variable-distribution_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-13_target-variable-distribution_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-05_somatic-feedback-vs-productivity-state_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-05_somatic-feedback-vs-productivity-state_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-17_final-model-roc-curve_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-17_final-model-roc-curve_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-10_state-index-vs-eda-mean_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-10_state-index-vs-eda-mean_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-06_semantic-vocabulary-size_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-06_semantic-vocabulary-size_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-14_resilience-stress-vs-focus_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-14_resilience-stress-vs-focus_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-09_state-restoration-registry-rebuild_2026-02-03.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-09_state-restoration-registry-rebuild_2026-02-03.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08_figures/fig-20_distributed-multimodal-framework_diagram_v01.png,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-20_distributed-multimodal-framework_diagram_v01.png,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09_notebooks/productivity-forecasting_multimodal-framework_part-03_notebook_v01.ipynb,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-03_notebook_v01.ipynb,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09_notebooks/productivity-forecasting_multimodal-framework_part-01_notebook_v01.ipynb,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-01_notebook_v01.ipynb,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09_notebooks/productivity-forecasting_multimodal-framework_part-02_notebook_v01.ipynb,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-02_notebook_v01.ipynb,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10_writing/outline.md,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09 Writing/outline.md,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10_writing/references.bib,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09 Writing/references.bib,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/index/asset-catalog.csv,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/asset-catalog.csv,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/index/filename-map.csv,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/filename-map.csv,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/index/figure-index.csv,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/figure-index.csv,move,google-drive-structure
/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/99_archive/productivity-forecasting_multimodal-framework_notebook_v01_duplicate.ipynb,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/99 Archive/productivity-forecasting_multimodal-framework_notebook_v01_duplicate.ipynb,move,google-drive-structure
